Value,Time
1482.5,2630.0
1488.25,2632.75
1489.25,2635.0
1493.25,2637.0
1493.25,2640.0
1488.5,2642.0
1487.5,2645.5
1485.75,2648.0
1479.0,2650.0
1472.75,2653.0
1472.25,2655.0
1470.0,2657.75
1473.25,2660.0
1483.25,2662.25
1487.25,2665.0
1493.5,2667.0
1496.25,2670.0
1487.75,2672.0
1480.5,2674.5
1479.0,2677.0
1478.75,2679.0
1482.0,2682.0
1485.75,2684.0
1489.25,2687.5
1498.5,2690.0
1501.75,2692.0
1494.5,2695.0
1488.75,2697.0
1486.75,2699.75
1490.25,2702.0
1487.0,2704.0
1480.25,2707.0
1480.5,2709.0
1485.5,2711.75
1481.75,2714.0
1476.75,2716.0
1470.5,2719.0
1470.75,2721.0
1475.25,2723.75
1474.0,2726.0
1477.5,2728.0
1482.5,2732.0
1483.75,2734.0
1483.5,2736.75
1482.75,2739.0
1481.75,2741.0
1475.5,2744.0
1465.5,2746.0
1462.25,2748.75
1465.0,2751.0
1474.0,2753.0
1479.75,2756.0
1482.0,2758.0
1490.5,2761.0
1491.75,2763.0
1491.75,2765.25
1498.5,2768.0
1499.0,2770.0
1488.5,2774.0
1484.5,2776.0
1485.25,2778.75
1480.0,2781.0
1479.25,2783.0
1488.25,2786.0
1500.0,2788.0
1490.5,2790.75
1478.5,2793.0
1478.25,2795.0
1478.75,2798.0
1478.0,2800.0
1480.0,2802.75
1484.0,2805.0
1480.25,2807.0
1473.0,2810.0
1476.25,2812.0
1476.75,2815.5
1480.0,2818.0
1480.5,2820.0
1478.5,2823.0
1485.25,2825.0
1487.25,2827.75
1481.5,2830.0
1475.5,2832.0
1473.0,2835.0
1472.5,2837.0
1480.0,2839.75
1486.0,2842.0
1482.25,2844.25
1484.75,2847.0
1495.75,2849.0
1492.0,2852.0
1487.75,2854.0
1488.25,2856.25
1493.25,2860.0
1485.25,2862.0
1479.25,2865.0
1477.5,2867.0
1474.0,2869.5
1480.25,2872.0
1491.25,2874.0
1487.25,2877.0
1482.75,2879.0
1481.25,2881.5
1480.75,2884.0
1480.25,2886.0
1481.75,2889.0
1501.25,2891.0
1503.75,2893.75
1491.75,2896.0
1488.25,2898.0
1490.5,2902.0
1487.25,2904.0
1483.0,2906.75
1482.0,2909.0
1483.75,2911.0
1488.75,2914.0
1487.25,2916.0
1485.5,2918.75
1490.25,2921.0
1496.75,2923.0
1497.75,2926.0
1494.75,2928.0
1488.25,2930.75
1483.5,2933.0
1484.75,2935.25
1488.0,2938.0
1482.75,2940.0
1483.5,2943.5
1486.5,2946.0
1484.0,2948.25
1487.25,2951.0
1491.5,2953.0
1490.75,2956.0
1486.5,2958.0
1479.25,2960.5
1481.5,2963.0
1484.0,2965.0
1484.5,2968.0
1486.5,2970.0
1488.0,2972.5
1487.5,2975.0
1492.0,2977.0
1494.75,2980.0
1491.5,2982.0
1489.5,2984.5
1495.5,2988.0
1498.75,2990.0
1501.25,2993.0
1500.75,2995.0
1494.25,2997.75
1490.75,3000.0
1489.25,3002.0
1493.0,3005.0
1494.0,3007.0
1491.75,3009.75
1489.75,3012.0
1488.75,3014.0
1487.25,3017.0
1484.0,3019.0
1485.25,3021.75
1486.0,3024.0
