Value,Time
1462.0,2213.25
1461.75,2216.0
1463.25,2219.0
1469.5,2222.0
1471.0,2224.0
1468.75,2226.75
1462.25,2229.0
1460.0,2231.0
1462.25,2234.0
1462.75,2236.0
1464.0,2238.75
1471.75,2241.0
1481.75,2243.25
1480.25,2246.0
1476.75,2248.0
1465.0,2250.75
1451.75,2253.0
1447.5,2255.25
1449.5,2258.0
1456.0,2260.0
1469.25,2264.0
1484.75,2266.0
1485.5,2268.25
1476.5,2271.0
1471.0,2273.0
1466.25,2276.0
1460.25,2278.0
1457.5,2280.25
1466.25,2283.0
1478.5,2285.0
1486.0,2288.0
1493.25,2290.0
1491.5,2292.25
1478.75,2295.0
1479.0,2297.0
1488.5,2300.0
1498.75,2302.0
1495.0,2305.25
1484.5,2308.0
1474.5,2310.0
1470.5,2313.0
1468.0,2315.0
1470.25,2317.75
1479.75,2320.0
1483.25,2322.25
1486.75,2325.0
1486.0,2327.0
1488.25,2329.75
1487.5,2332.0
1481.75,2334.25
1479.0,2337.0
1483.25,2339.0
1485.5,2341.75
1483.75,2344.0
1486.0,2347.25
1487.0,2350.0
1489.75,2352.0
1495.5,2355.0
1489.25,2357.0
1478.0,2359.25
1471.0,2362.0
1471.5,2364.0
1485.0,2367.0
1501.25,2369.0
1507.75,2371.25
1501.0,2374.0
1488.25,2376.0
1478.75,2379.0
1477.75,2381.0
1485.0,2383.25
1487.0,2386.0
1479.5,2388.0
1471.0,2392.0
1473.0,2394.0
1481.25,2396.75
1487.25,2399.0
1487.5,2401.0
1490.5,2404.0
1502.75,2406.0
1502.25,2408.75
1492.75,2411.0
1485.5,2413.25
1489.5,2416.0
1498.75,2418.0
1510.0,2420.75
1516.25,2423.0
1509.75,2425.25
1498.25,2428.0
1490.5,2430.0
1488.25,2434.0
1487.0,2436.0
1483.5,2438.25
1485.75,2441.0
1496.5,2443.0
1504.75,2446.0
1509.25,2448.0
1507.25,2450.25
1500.0,2453.0
1491.25,2455.0
1489.0,2458.0
1497.0,2460.0
1509.5,2462.25
1512.75,2465.0
1509.5,2467.0
1505.5,2470.0
1503.5,2472.0
1502.25,2475.75
1498.5,2478.0
1496.75,2480.0
1496.25,2483.0
1494.5,2485.0
1495.0,2487.75
1509.0,2490.0
1514.25,2492.0
1506.5,2495.0
1496.5,2497.0
1490.5,2499.75
1482.0,2502.0
1472.25,2504.25
1470.25,2507.0
1481.25,2509.0
1504.0,2511.75
1523.25,2514.0
1531.0,2516.5
1521.75,2520.0
1505.75,2522.0
1488.0,2525.0
1477.0,2527.0
1478.0,2529.25
1482.0,2532.0
1488.0,2534.0
1495.75,2537.0
1506.0,2539.0
1517.0,2541.25
1513.75,2544.0
1506.75,2546.0
1503.5,2549.0
1498.25,2551.0
1496.0,2553.75
1505.75,2556.0
1514.25,2558.0
1509.5,2562.0
1509.5,2564.0
1508.5,2566.75
1503.75,2569.0
1498.25,2571.0
1494.5,2574.0
1495.5,2576.0
1496.0,2578.75
1499.5,2581.0
1505.0,2583.25
1513.25,2586.0
1515.5,2588.0
1514.0,2590.75
1508.0,2593.0
1504.0,2595.25
1505.25,2598.0
1506.25,2600.0
1504.75,2604.0
1497.5,2606.0
1492.75,2608.25
1502.0,2611.0
1510.5,2613.0
1509.75,2616.0
1504.0,2618.0
1503.0,2620.25
1504.5,2623.0
1511.25,2625.0
1517.0,2628.0
1518.5,2630.0
1523.75,2632.25
1530.0,2635.0
1524.0,2637.0
1512.0,2640.0
1502.5,2642.0
1494.75,2645.5
1491.5,2648.0
1490.5,2650.0
1490.5,2653.0
1502.5,2655.0
1516.75,2657.75
1523.25,2660.0
1525.5,2662.0
1526.0,2665.0
1525.0,2667.0
1522.25,2669.75
1518.5,2672.0
1515.5,2674.0
1512.25,2677.0
1515.0,2679.0
1517.75,2681.75
1518.75,2684.0
1520.75,2686.5
1523.0,2690.0
1525.5,2692.0
1527.75,2694.75
1529.25,2697.0
1533.25,2699.25
1534.5,2702.0
1534.75,2704.0
1532.0,2707.0
1530.25,2709.0
1529.5,2711.25
1530.25,2714.0
1535.0,2716.0
1537.5,2719.0
1539.75,2721.0
1544.75,2723.25
1546.5,2726.0
1538.5,2728.0
1533.0,2732.0
1527.0,2734.0
1524.5,2736.25
1525.25,2739.0
1534.25,2741.0
1536.0,2744.0
1526.0,2746.0
1514.25,2748.75
1511.5,2751.0
1515.25,2753.0
1525.25,2756.0
1529.5,2758.0
1525.75,2760.75
1523.25,2763.0
1529.0,2765.0
1539.75,2768.0
1536.75,2770.0
1525.5,2773.5
1515.5,2776.0
1512.5,2778.25
1515.75,2781.0
1515.0,2783.0
1509.75,2785.75
1504.5,2788.0
1505.0,2790.25
1502.0,2793.0
1499.5,2795.0
1496.75,2798.0
1491.0,2800.0
1486.25,2802.25
1490.0,2805.0
1492.5,2807.0
1494.75,2810.0
1498.5,2812.0
1494.75,2814.5
1484.25,2818.0
1477.5,2820.0
1481.25,2823.0
1481.75,2825.0
1481.0,2827.5
1478.75,2830.0
1476.75,2832.0
1477.25,2835.0
1479.0,2837.0
1471.5,2839.75
1463.25,2842.0
1461.25,2844.0
1463.25,2847.0
1466.75,2849.0
1474.75,2851.75
1485.25,2854.0
1484.5,2856.0
1476.5,2860.0
1469.25,2862.0
1460.25,2864.75
1455.25,2867.0
1455.5,2869.25
1464.5,2872.0
1479.5,2874.0
1483.0,2876.75
1476.25,2879.0
1463.0,2881.25
1456.25,2884.0
1455.75,2886.0
1464.0,2889.0
1473.75,2891.0
1474.5,2893.25
1471.75,2896.0
1468.25,2898.0
1465.25,2902.0
1470.75,2904.0
1480.5,2906.25
1482.5,2909.0
1473.0,2911.0
1468.25,2914.0
1467.0,2916.0
1463.5,2918.5
1465.25,2921.0
1466.5,2923.0
1472.25,2926.0
1480.75,2928.0
1484.0,2930.5
1483.75,2933.0
1485.5,2935.0
1480.25,2938.0
1466.0,2940.0
1458.0,2943.0
1464.0,2946.0
1471.0,2948.25
1466.5,2951.0
1457.5,2953.0
1460.5,2955.75
1467.25,2958.0
1476.25,2960.25
1484.25,2963.0
1488.5,2965.0
1484.25,2968.0
1479.0,2970.0
1473.5,2972.25
1469.5,2975.0
1475.75,2977.0
1482.25,2980.0
1485.25,2982.0
1488.75,2984.25
1483.0,2988.0
1471.0,2990.0
1466.25,2993.0
1466.25,2995.0
1470.25,2997.25
1469.25,3000.0
1463.0,3002.0
1466.0,3005.0
1474.25,3007.0
1482.75,3009.5
1484.0,3012.0
1478.5,3014.0
1475.75,3017.0
1478.5,3019.0
1479.0,3021.5
1476.5,3024.0
1467.0,3026.25
1458.25,3030.0
1459.25,3032.0
1469.25,3034.5
1471.0,3037.0
1470.0,3039.25
1465.75,3042.0
1459.5,3044.0
1462.5,3047.0
1468.75,3049.0
1472.75,3051.25
1477.0,3054.0
1485.0,3056.0
1491.75,3059.0
1496.75,3061.0
1494.5,3063.25
1489.5,3066.0
1484.5,3068.0
1485.0,3072.0
1485.0,3074.0
1486.75,3076.25
1484.5,3079.0
1476.75,3081.0
1471.0,3084.0
1475.0,3086.0
1485.5,3088.5
1484.0,3091.0
1479.75,3093.0
1477.0,3096.0
1478.25,3098.0
1490.25,3100.5
1496.0,3103.0
1500.5,3105.25
1497.25,3108.0
1491.5,3110.0
1484.5,3112.75
1485.25,3116.0
1493.0,3118.25
1499.5,3121.0
1497.25,3123.0
1486.75,3126.0
1474.5,3128.0
1466.5,3130.25
1473.75,3133.0
1488.0,3135.0
1494.0,3138.0
1497.25,3140.0
1502.25,3142.25
1501.0,3145.0
1493.5,3147.0
1489.0,3150.0
1488.25,3152.0
1493.0,3154.5
1494.25,3158.0
1491.0,3160.0
1495.0,3163.0
1503.5,3165.0
1500.75,3167.5
1487.75,3170.0
1478.0,3172.25
1474.0,3175.0
1470.75,3177.0
1469.25,3179.75
1476.25,3182.0
1488.75,3184.25
1495.0,3187.0
1492.25,3189.0
1488.0,3192.0
1487.75,3194.0
1485.25,3196.25
1487.0,3200.0
1490.5,3202.0
1492.75,3205.0
1489.5,3207.0
1480.5,3209.25
1478.5,3212.0
1486.5,3214.0
1500.0,3217.0
1511.75,3219.0
1509.0,3221.25
1503.5,3224.0
1505.25,3226.0
1508.5,3229.0
1500.75,3231.0
1491.0,3233.25
1481.75,3236.0
1480.0,3238.0
1473.25,3241.0
1466.0,3244.0
1467.75,3246.5
1477.25,3249.0
1490.0,3251.0
1492.25,3254.0
1495.5,3256.0
1497.25,3258.5
1494.0,3261.0
1487.75,3263.25
1484.5,3266.0
1481.25,3268.0
1483.25,3270.75
1496.5,3273.0
1513.75,3275.25
1520.5,3278.0
1512.0,3280.0
1496.75,3282.75
1482.0,3286.0
1469.0,3288.25
1465.75,3291.0
1470.5,3293.0
1482.75,3295.75
1494.0,3298.0
1500.5,3300.25
1506.0,3303.0
1505.75,3305.0
1499.0,3308.0
1486.75,3310.0
1474.25,3312.25
1466.5,3315.0
1465.25,3317.0
1477.25,3320.0
1486.25,3322.0
1493.0,3324.25
1500.75,3328.0
1520.75,3330.0
1526.75,3333.0
1517.25,3335.0
1502.75,3337.25
1494.75,3340.0
1491.25,3342.0
1489.0,3345.0
1485.25,3347.0
1488.75,3349.5
1496.75,3352.0
1499.75,3354.25
1490.25,3357.0
1478.0,3359.0
1473.0,3361.75
1477.25,3364.0
1485.25,3366.25
1493.0,3369.0
1499.5,3372.0
1494.5,3374.75
1490.25,3377.0
1486.25,3379.25
1483.75,3382.0
1484.0,3384.0
1482.25,3386.75
1478.25,3389.0
1485.5,3391.25
1502.25,3394.0
1513.5,3396.0
1511.0,3399.0
1500.0,3401.0
1492.5,3403.25
1492.25,3406.0
1495.25,3408.0
1490.5,3411.0
1487.25,3414.0
1489.75,3416.25
1485.75,3419.0
1483.0,3421.0
1483.0,3424.0
1487.25,3426.0
1490.5,3428.25
1489.5,3431.0
1486.25,3433.0
1485.75,3436.0
1498.0,3438.0
1503.75,3440.5
1497.0,3443.0
1491.75,3445.25
1483.5,3448.0
1473.0,3450.0
1473.5,3452.75
1475.25,3456.0
1474.25,3458.25
1478.75,3461.0
1494.25,3463.0
1502.5,3465.75
1497.0,3468.0
1493.25,3470.25
1495.5,3473.0
1491.0,3475.0
1487.0,3478.0
1492.75,3480.0
1499.0,3482.25
1497.0,3485.0
1494.5,3487.0
1494.0,3490.0
1495.25,3492.0
1490.75,3494.25
1490.75,3497.0
1496.0,3500.0
1504.25,3503.0
1502.5,3505.0
1499.0,3507.25
1486.0,3510.0
1471.75,3512.0
1467.25,3515.0
1467.5,3517.0
1466.5,3519.5
